Start Time,End Time,,Name,PaperId,Presenter,Options,Great Together,Ok Together,Not Ok Together,Don't know if should be together,Interested in,Options 11-20,More button1 clicked,More button2 clicked,Specials 1-3,Specials 4-6
2015-01-25T23:54:43Z,2015-01-25T23:57:40Z,,Damon McCoy,pn2244,,"pn2478,pn287,pn763,pn1480,pn169,pn371,pn895,pn298,pn1266,pn466","pn895,pn371","pn287,pn2478,pn763,pn298,pn169",,"pn1266,pn1480,pn466",,"pn1550,pn581,pn910,pn655,pn532,pn2626,pn5113,case136,pn1167,pn1077",FALSE,FALSE,,
2015-01-25T23:22:55Z,2015-01-25T23:57:49Z,,David Karger,pn410,,"pn1944,pn1151,pn1226,pn1350,pn973,pn2247,pn1972,pn1682,pn2126,pn581",pn2606,"pn1151,pn2339,pn2247","pn1944,pn1972,pn1682,pn1453,pn2126,pn1577,pn581,crs121,pn369,pn1927,pn1350,pn973,pn2340","pn1226,pn1541,case191","pn2247,pn1151,pn1226,pn2126","pn1927,case191,crs121,pn2339,pn2340,pn1577,pn2606,pn369,pn1541,pn1453",TRUE,FALSE,,
2015-01-25T23:51:25Z,2015-01-25T23:57:51Z,,Judith S. Olson,pn2126,,"pn581,pn410,pn1972,pn1682,pn1226,pn2247,pn973,pn1350,pn1151,pn1944","pn1151,pn1972,pn1682,pn581","pn1944,pn410,pn1226,pn2247,pn1350,pn973",,,"pn581,pn1944,pn1350,pn1151,pn2247,pn1226,pn973,pn410,pn1972,pn1682","pn1335,pn2492,pn2245,pn1948,pn2196,pn2072,pn2327,pn2340,pn1289,pn2606",FALSE,FALSE,,
2015-01-25T23:54:57Z,2015-01-25T23:57:59Z,,Sandeep Kaur Kuttal,pn5103,,"pn2172,pn2327,pn5123,pn5133,pn2651,pn2147,pn2536,crs124,pn1498,pn5107",,"pn2172,pn5133,pn2536,pn2327",,"pn5123,pn5107,pn2147,pn1498,pn2651,crs124","pn2536,pn2172,pn5133,pn1498,pn5107,pn2327","pn5121,pn5113,pn5108,pn5115,pn5105,pn5128,pn5138,pn5137,pn5127,pn5106",FALSE,FALSE,,
2015-01-25T23:48:07Z,2015-01-25T23:58:19Z,,Philip Quinn,pn139,,"pn416,pn1361,pn1644,pn1895,pn359,pn2296,pn142,pn933,pn1284,pn1492",pn142,pn1644,"pn731,case134,pn1284,pn359,case115,pn263,pn1979,pn140,pn933,pn1492,pn849,pn1599,pn416,pn2447,pn2327,pn2296","pn1361,pn1895","pn142,pn1644,pn1361,pn1895","pn2327,pn263,pn1599,pn1979,pn2447,pn731,case115,pn140,case134,pn849",TRUE,TRUE,,
2015-01-25T23:45:19Z,2015-01-25T23:58:39Z,,Rohit Ashok Khot,pn414,,"pn2289,pn1894,pn611,pn1856,pn1834,pn1032,pn365,pn1001,pn1336,case138","pn631,pn2289,pn650,pn1834","pn1032,pn365,pn1856,pn1894,pn611,pn1336",,"case138,pn1001","pn1743,pn650,pn1856,pn631,pn1834,pn611","pn1948,pn631,pn2185,pn650,pn1016,pn1391,pn2625,pn710,pn1743,pn933",TRUE,TRUE,,
2015-01-25T23:57:49Z,2015-01-25T23:59:22Z,,Yu Zhong,pn1638,,"pn1881,pn332,pn1898,pn388,pn691,pn1373,pn1077,pn1559,pn2486,pn2072","pn2072,pn2486,pn1077","pn388,pn1898,pn691,pn1559,pn1373,pn1881",,pn332,"pn2486,pn1559,pn1077,pn388","pn2005,pn5132,pn239,pn855,pn1059,pn2575,pn234,pn1275,pn532,pn5107",FALSE,FALSE,,
2015-01-25T23:57:48Z,2015-01-26T00:00:05Z,,Pourang Irani,pn1606,,"pn1580,pn2637,pn1717,pn1189,pn1142,pn592,pn464,pn697,pn2022,pn1552",pn1717,"pn2022,pn2637","pn1580,pn464,pn592,pn1189,pn697,pn1552",pn1142,"pn464,pn1717,pn1580,pn2637,pn2022","pn365,pn1038,pn2352,pn105,pn1289,pn1187,case156,pn1129,pn708,crs111",FALSE,FALSE,,
2015-01-25T23:56:24Z,2015-01-26T00:00:39Z,,Richard Anderson,pn103,,"pn2481,pn685,pn808,pn2419,pn5108,pn2424,pn243,pn2470,pn1945,pn1046",pn685,,,"pn2470,pn2419,pn1945,pn243,pn5108,pn1046,pn2481,pn808,pn2424","pn685,pn2481,pn1945","crs133,pn1541,pn239,pn1058,pn727,pn965,crs112,crs134,pn2108,pn2312",FALSE,TRUE,,
2015-01-25T23:57:24Z,2015-01-26T00:00:50Z,,Yun-En Liu,pn5128,,"pn1574,pn2492,pn1530,pn1335,pn727,pn1147,pn738,pn1167,pn382,pn936","pn1574,pn1167","pn2492,pn1147,pn1530,pn1335",,"pn738,pn382,pn727,pn936","pn1574,pn1167,pn2492","pn1299,pn5101,pn5137,pn5138,pn5119,pn5107,pn5113,pn5123,pn5127,pn5105",FALSE,FALSE,,
