Start Time,End Time,Name,PaperId,Presenter,Options,Great Together,Ok Together,Not Ok Together,Don't know if should be together,Interested in,Options 11-20,More button1 clicked,More button2 clicked,Specials 1-3,Specials 4-6
2013-02-01T16:12:41Z,2013-02-01T16:25:26Z,Maria Håkansson,pn1817,,"pn2312,pn371,pn273,pn123,pn1768,pn1972,pn1188,pn446,pn1174,pn2291","pn1091,pn446",pn2312,"pn1678,pn123,pn2291,pn913,pn2247,pn720,pn371,pn1768,pn1174,pn705","pn1972,pn1188,pn1063,pn1121,pn564,pn585,pn273","pn564,pn585,sig116,pn446,pn2312,pn1091,pan114","pn2247,pn720,pn1063,pn1678,pn1121,pn564,pn1091,pn705,pn913,pn585",TRUE,TRUE,"sig116,pan114,sig123","crs177,case131,case112"
2013-02-01T16:59:28Z,2013-02-01T17:01:39Z,Carlee Joe-Wong,pn1952,,"pn803,pn1557,pn758,pn1607,pn739,pn2291,pn1585,pn2140,pn1506,pn1683","pn1506,pn1557","pn758,pn803",,"pn1585,pn739,pn2140,pn1607,pn2291,pn1683","sig118,pn1557,pn2140,pn1506","pn1134,pn2119,pn127,pn1894,pn1765,pn946,pn1263,pn2015,pn1751,pn688",FALSE,FALSE,"crs160,sig118,crs120","case146,crs162,case136"
2013-02-01T16:58:53Z,2013-02-01T17:02:20Z,Soumya Sen,pn1952,,"pn803,pn1557,pn758,pn1607,pn739,pn2291,pn1585,pn2140,pn1506,pn1683",pn1557,"pn1585,pn1506","pn739,pn1607","pn758,pn2140,pn2291,pn1683,pn803","sig118,crs160,pn1607,pn2140","pn1134,pn2119,pn127,pn1894,pn1765,pn946,pn1263,pn2015,pn1751,pn688",FALSE,FALSE,"crs160,sig118,crs120","case146,crs162,case136"
2013-02-01T17:27:15Z,2013-02-01T17:29:09Z,Meredith Ringel Morris,pn181,,"pn917,tochi107,pn888,pn584,pn2165,pn123,pn1479,pn720,pn1901,pn1713","tochi107,pn2165,pn917,pn1713",,"pn1901,pn123,pn1479,pn720,pn584",pn888,,"pn595,pn663,tochi112,pn923,pn946,pn646,pn1683,pn1817,pn239,pn401",FALSE,FALSE,"sig102,crs114,pan120","sig116,case119,crs110"
2013-02-01T17:37:55Z,2013-02-01T17:41:26Z,Jeffrey P. Bigham,pn181,,"pn917,tochi107,pn888,pn584,pn2165,pn123,pn1479,pn720,pn1901,pn1713",pn2165,"pn1901,tochi107,pn917,pn1713",pn888,"pn123,pn1479,pn720,pn584","pn2165,pn1713","pn595,pn663,tochi112,pn923,pn946,pn646,pn1683,pn1817,pn239,pn401",FALSE,FALSE,"sig102,crs114,pan120","sig116,case119,crs110"
2013-02-01T02:03:40Z,2013-02-01T19:38:45Z,Kristina Höök,tochi113,,"pn317,pn312,pn107,pn2096,pn946,pn1765,pn153,pn1637,pn1965",pn1637,pn1765,"pn946,pn1965,pn2096,pn312,pn107,pn153",pn317,"pn1637,pn1765,sig124","tochi124,pn1624,pn1678,pn1346,pn990,pn663,pn564,pn226,pn536,tochi102",FALSE,FALSE,"sig124,sig108,sig117","crs162,crs120,crs114"
2013-01-29T23:23:36Z,2013-02-01T20:15:27Z,,pn1585,,"pn966,pn985,pn368,pn927,pn2065,pn1977,pn910,pn1352,pn1537",pn985,"pn927,pn1977,pn910,pn1352,pn1537",,"pn966,pn2065,pn368","pn1352,pn927,pn1537,pn2065,pn1977,pn966,pn910,pn985","tochi125,pn1424,pn577,pn1440,pn220,pn705,pn1699,pn114,pn117",FALSE,FALSE,"crs160,sig124,case154","sig106,sig102,case141"
2013-02-01T22:01:43Z,2013-02-01T22:15:35Z,Ben Lafreniere,pn1940,,"pn1498,pn966,pn679,pn1380,pn215,pn1134,pn573,pn1339,pn202,pn1108",pn662,"pn215,pn2044,pn2321,pn1339","pn1380,pn1901,pn1134,pn1118,pn1965,pn966,pn1498,pn679,pn1046,pn1454,pn2012","pn1483,pn573,pn202,pn1108","pn1339,pn662,pn215","pn2044,pn1965,pn1118,pn1901,pn662,pn1483,pn1454,pn2012,pn2321,pn1046",TRUE,TRUE,"crs150,crs117,crs115","crs164,crs177,crs107"
2013-02-01T22:58:49Z,2013-02-01T23:05:07Z,Joey Scarr,pn213,,"pn2234,pn900,tochi106,pn1545,pn1711,pn1599,pn2240,pn222,pn917,pn250",pn900,"pn222,pn2240,pn917","pn1012,pn2234,pn1637,tochi106,pn1360,pn317,pn1424,pn292,pn2045,pn368,pn1711","pn1545,pn1599,pn250,pn130","pn2240,pn900,pn317","pn1360,pn292,pn368,pn1637,pn1424,pn130,pn317,pn1012,pn2045",TRUE,TRUE,"crs150,crs112,crs162","crs153,crs120,case113"
2013-01-29T23:54:21Z,2013-02-02T03:30:53Z,,pn1765,,"pn226,pn718,pn1943,pn818,pn1160,pn1678,pn414,pn2338,pn1492,pn1637","pn718,pn1637,pn226",pn1943,"pn2338,pn414","pn1678,pn818,pn1492,pn1160","pn1943,pan109,pn718,pn1637,pn226","pn220,pn1698,pn1108,pn704,tochi121,pn1111,pn1894,pn546,pn1431,pn112",FALSE,FALSE,"crs162,case158,pan109","crs114,case112,sig108"
